"year","month","monthly"
1997,4,11.5166666666667
1997,5,15.7822580645161
1997,6,20.9916666666667
1997,7,25.1935483870968
1997,8,23.241935483871
1997,9,20.0833333333333
1997,10,14.3951612903226
1997,11,6.975
1997,12,4.35483870967742
1998,1,5.2741935483871
1998,2,5.625
1998,3,7.96774193548387
1998,4,13.9833333333333
1998,5,18.991935483871
1998,6,23.6
1998,7,25.4758064516129
1998,8,24.5483870967742
1998,9,22.9416666666667
1998,10,15.1854838709677
1998,11,9.30833333333333
1998,12,7.18548387096774
1999,1,4.93548387096774
1999,2,4.94642857142857
1999,3,6.63709677419355
1999,4,14.4166666666667
1999,5,17.3548387096774
1999,6,21.7833333333333
1999,7,25.8870967741935
1999,8,25.6451612903226
1999,9,19.575
1999,10,13.2338709677419
1999,11,11.65
1999,12,4.85483870967742
2000,1,1.90322580645161
2000,2,5.16071428571429
2000,3,10.6693548387097
2000,4,12.7
2000,5,19.4758064516129
2000,6,22.925
2000,7,23.2016129032258
2000,8,23.6935483870968
2000,9,20.0083333333333
2000,10,14.75
2000,11,7.45833333333333
2000,12,0.435483870967742
2001,1,1.62903225806452
2001,2,5.74107142857143
2001,3,6.37096774193548
2001,4,14.325
2001,5,17.8951612903226
2001,6,22.8583333333333
2001,7,23.1693548387097
2001,8,24.2903225806452
2001,9,19.2
2001,10,12.9677419354839
2001,11,10.475
2001,12,7.37903225806452
2002,1,3.70161290322581
2002,2,6.02678571428571
2002,3,7.7741935483871
2002,4,15.375
2002,5,17.1451612903226
2002,6,23.475
2002,7,25.6209677419355
2002,8,25.1451612903226
2002,9,21.175
2002,10,15.3306451612903
2002,11,7.78333333333333
2002,12,2.71774193548387
2003,1,0.790322580645161
2003,2,2.78571428571429
2003,3,9.12096774193548
2003,4,12.45
2003,5,17.3790322580645
2003,6,21.1583333333333
2003,7,24.5161290322581
2003,8,24.5967741935484
2003,9,20.3
2003,10,13.4274193548387
2003,11,11.8166666666667
2003,12,3.30645161290323
2004,1,1.46774193548387
2004,2,2.45535714285714
2004,3,9.33870967741935
2004,4,13.4416666666667
2004,5,20.6774193548387
2004,6,22.65
2004,7,24.508064516129
2004,8,22.8064516129032
2004,9,20.675
2004,10,14.8870967741935
2004,11,11.0916666666667
2004,12,4.21774193548387
2005,1,4.65322580645161
2005,2,4.88392857142857
2005,3,6.37096774193548
2005,4,13.6666666666667
2005,5,16.5241935483871
2005,6,22.4416666666667
2005,7,26.3387096774194
2005,8,25.5161290322581
2005,9,23.0833333333333
2005,10,15.6532258064516
2005,11,9.775
2005,12,3.14516129032258
2006,1,6.85483870967742
2006,2,4.40178571428571
2006,3,8.83870967741935
2006,4,15.9
2006,5,16.7096774193548
2006,6,22.6583333333333
2006,7,25.241935483871
2006,8,26.0725806451613
2006,9,19.7333333333333
2006,10,12.9596774193548
2006,11,9.73333333333333
2006,12,7.04838709677419
2007,1,5.80645161290323
2007,2,1.45535714285714
2007,3,10.5564516129032
2007,4,13.025
2007,5,18.5
2007,6,23.25
2007,7,24.4758064516129
2007,8,27.241935483871
2007,9,22.425
2007,10,17.7822580645161
2007,11,8.83333333333333
