"year","month","monthly_average"
1990,7,37.3709677419355
1990,8,38.0483870967742
1990,9,26.2333333333333
1990,10,18.0967741935484
1990,11,3.93333333333333
1990,12,-7.30645161290323
1991,1,-20.4032258064516
1991,2,-12.5535714285714
1991,3,-2.85483870967742
1991,4,10.6666666666667
1991,5,25.0645161290323
1991,6,32.7
1991,7,36.6451612903226
1991,8,37
1991,9,24.7166666666667
1991,10,16.2096774193548
1991,11,4.01666666666667
1991,12,-13.1451612903226
1992,1,-18.7741935483871
1992,2,-15.1428571428571
1992,3,-10.9677419354839
1992,4,4.58333333333333
1992,5,20.3225806451613
1992,6,30.7666666666667
1992,7,32.9677419354839
1992,8,34.0483870967742
1992,9,27.85
1992,10,11.6129032258065
1992,11,-0.1
1992,12,-9.62903225806452
1993,1,-15.3064516129032
1993,2,-26.9464285714286
1993,3,-9.33870967741935
1993,4,9.06666666666667
1993,5,22.6935483870968
1993,6,30.4833333333333
1993,7,37.1129032258064
1993,8,37.741935483871
1993,9,26.6833333333333
1993,10,9.7258064516129
1993,11,1.73333333333333
1993,12,-9.32258064516129
1994,1,-29.5
1994,2,-23.4107142857143
1994,3,-6.53225806451613
1994,4,7.16666666666667
1994,5,18.4677419354839
1994,6,35.0333333333333
1994,7,41.2903225806452
1994,8,35.0806451612903
1994,9,25.6
1994,10,15.7903225806452
1994,11,5.7
1994,12,-6.74193548387097
1995,1,-12.0967741935484
1995,2,-19.3214285714286
1995,3,-3.7258064516129
1995,4,4.13333333333333
1995,5,20.0645161290323
1995,6,34.7166666666667
1995,7,39.741935483871
1995,8,36.8709677419355
1995,9,23.6
1995,10,19
1995,11,-1.1
1995,12,-16.1612903225806
1996,1,-19.2741935483871
1996,2,-18.375
1996,3,-7.62903225806452
1996,4,7.28333333333333
1996,5,18.7096774193548
1996,6,31.7333333333333
1996,7,35.6935483870968
1996,8,36.3870967741936
1996,9,28.3833333333333
1996,10,13.8387096774194
1996,11,-0.216666666666667
1996,12,-4.38709677419355
1997,1,-19.4516129032258
1997,2,-14.8035714285714
1997,3,-9.5
1997,4,5.36666666666667
1997,5,15.4677419354839
1997,6,32.1333333333333
1997,7,36.7903225806452
1997,8,34.5483870967742
1997,9,26.2
1997,10,13.5483870967742
1997,11,0.4
1997,12,-9.79032258064516
1998,1,-14.8225806451613
1998,2,-8.48214285714286
1998,3,-2.43548387096774
1998,4,11.0333333333333
1998,5,27.3225806451613
1998,6,30.1
1998,7,36.9838709677419
1998,8,36.5161290322581
1998,9,28.4166666666667
1998,10,15.4193548387097
1998,11,2.58333333333333
1998,12,-4.2258064516129
1999,1,-18.741935483871
1999,2,-13.1607142857143
1999,3,-3.59677419354839
1999,4,8.48333333333333
1999,5,24.0806451612903
1999,6,36.1166666666667
1999,7,39.3064516129032
1999,8,35.0806451612903
1999,9,31.85
1999,10,11.7096774193548
1999,11,6.48333333333333
1999,12,-7.29032258064516
2000,1,-20.3870967741935
2000,2,-15.7321428571429
2000,3,0.741935483870968
2000,4,7.33333333333333
2000,5,19.0322580645161
2000,6,29.7833333333333
2000,7,33.3709677419355
2000,8,33.8387096774194
2000,9,26.6333333333333
2000,10,14.6612903225806
2000,11,3.11666666666667
2000,12,-16.0322580645161
2001,1,-19.3548387096774
2001,2,-17.1428571428571
2001,3,-9.67741935483871
2001,4,5.5
2001,5,24.0967741935484
2001,6,33.8333333333333
2001,7,34.6290322580645
2001,8,38.8870967741936
2001,9,28.95
2001,10,16.8387096774194
2001,11,5.2
2001,12,-3.41935483870968
2002,1,-10.5967741935484
2002,2,-12.9821428571429
2002,3,-6.56451612903226
2002,4,9.08333333333333
2002,5,17.4677419354839
2002,6,28.9833333333333
2002,7,37.1451612903226
2002,8,39.0645161290323
2002,9,31.35
2002,10,10.8709677419355
2002,11,-1.3
2002,12,-12.3387096774194
2003,1,-24.4354838709677
2003,2,-21.5892857142857
2003,3,-9.80645161290323
2003,4,4.4
2003,5,19.5161290322581
2003,6,32.0166666666667
2003,7,37.5967741935484
2003,8,38.1451612903226
2003,9,28.6666666666667
2003,10,13.2258064516129
2003,11,3.86666666666667
2003,12,-10.9838709677419
2004,1,-27.8225806451613
2004,2,-17.5357142857143
2004,3,-4.09677419354839
2004,4,7.21666666666667
2004,5,23.0161290322581
2004,6,27.6166666666667
2004,7,34.8870967741936
2004,8,35.6129032258064
2004,9,28.9166666666667
2004,10,14.9677419354839
2004,11,2.01666666666667
2004,12,-13.2096774193548
2005,1,-21.7258064516129
2005,2,-14.0357142857143
2005,3,-9.90322580645161
2005,4,10.1
2005,5,15.6774193548387
2005,6,34.7833333333333
2005,7,39.2096774193548
2005,8,37.0806451612903
2005,9,31.1166666666667
2005,10,16.5967741935484
2005,11,2.81666666666667
2005,12,-10.6774193548387
2006,1,-9.82258064516129
2006,2,-13.9107142857143
2006,3,-5.74193548387097
2006,4,11.3333333333333
2006,5,22.0967741935484
2006,6,34.3166666666667
2006,7,41.0322580645161
2006,8,33.3548387096774
2006,9,26.9166666666667
2006,10,14.2258064516129
2006,11,7.5
2006,12,-2.59677419354839
2007,1,-15.3387096774194
2007,2,-24.0714285714286
2007,3,-7.88709677419355
2007,4,5.23333333333333
2007,5,21.5645161290323
2007,6,32.3333333333333
2007,7,35.0483870967742
2007,8,35.4516129032258
2007,9,29.25
2007,10,20.0322580645161
2007,11,-0.4
2007,12,-14.7258064516129
2008,1,-14.2741935483871
2008,2,-14.3571428571429
2008,3,-10.6451612903226
2008,4,9.58333333333333
2008,5,19.0967741935484
2008,6,32.4333333333333
2008,7,38.5967741935484
2008,8,34.0967741935484
2008,9,27.9666666666667
2008,10,14.9193548387097
2008,11,2.63333333333333
2008,12,-12.4516129032258
2009,1,-26.0806451612903
2009,2,-16.4821428571429
2009,3,-6.46774193548387
2009,4,11.1333333333333
2009,5,20.8387096774194
2009,6,28.9
2009,7,33.4838709677419
2009,8,37.3870967741936
2009,9,25.9
2009,10,10.7903225806452
2009,11,7.28333333333333
2009,12,-10.8548387096774
2010,1,-13.258064516129
2010,2,-10.8035714285714
2010,3,2.61290322580645
2010,4,13.6333333333333
2010,5,24.5483870967742
2010,6,31.55
2010,7,41.2741935483871
2010,8,35.6129032258064
2010,9,29.4
2010,10,15
2010,11,2.73333333333333
2010,12,-11.3387096774194
2011,1,-17.9516129032258
2011,2,-18.2857142857143
2011,3,-7.09677419354839
2011,4,7.25
2011,5,22.8387096774194
2011,6,31.8166666666667
2011,7,39.4516129032258
2011,8,36.5806451612903
2011,9,30.25
2011,10,17.8064516129032
2011,11,6.46666666666667
2011,12,-4.83870967741935
2012,1,-14.6774193548387
2012,2,-10.5
2012,3,1.70967741935484
2012,4,11.05
2012,5,23.3387096774194
2012,6,30.9333333333333
2012,7,39.4032258064516
2012,8,39.0967741935484
2012,9,27.2333333333333
2012,10,17.6774193548387
2012,11,3.01666666666667
2012,12,-6.91935483870968
2013,1,-18.5483870967742
2013,2,-13.0714285714286
2013,3,-3.75806451612903
2013,4,6.48333333333333
2013,5,22.0645161290323
2013,6,33.1
2013,7,40.8387096774194
2013,8,35.0806451612903
2013,9,27.75
2013,10,17.741935483871
2013,11,-0.05
2013,12,-14.7096774193548
2014,1,-21.1612903225806
2014,2,-17.2142857142857
2014,3,-16.7741935483871
2014,4,6.91666666666667
2014,5,22.1290322580645
2014,6,31.7333333333333
2014,7,38.7741935483871
2014,8,35.1290322580645
2014,9,27.1
2014,10,18.5
2014,11,0.983333333333333
2014,12,-6.48387096774194
2015,1,-23.0967741935484
2015,2,-30.0892857142857
2015,3,-13.4838709677419
2015,4,5.3
2015,5,26.4032258064516
2015,6,28.7
2015,7,35.9677419354839
2015,8,37.8387096774194
2015,9,32.55
2015,10,12.7258064516129
2015,11,6.03333333333333
2015,12,-0.887096774193548
2016,1,-14.4838709677419
2016,2,-12.3571428571429
2016,3,-2.7741935483871
2016,4,5.75
2016,5,21.4354838709677
2016,6,31.3166666666667
2016,7,38.2096774193548
2016,8,38.3870967741936
2016,9,31.0666666666667
2016,10,16.6612903225806
2016,11,5.36666666666667
2016,12,-12.0483870967742
